
Proving the program took 1.47 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	3.96216		0.022222222222222223	0.03	
    0	  100	3.88883		0.0	0.03	
    0	  200	3.83194		0.0	0.03	
    0	  300	3.88142		0.0	0.03	
    0	  400	3.85436		0.0	0.03	
    1	  500	3.84413		0.03333333333333333	0.045	
    1	  600	3.88187		0.03333333333333333	0.045	
    1	  700	3.82819		0.044444444444444446	0.065	
    1	  800	3.70720		0.1111111111111111	0.125	
    2	  900	3.64514		0.1111111111111111	0.22	
    2	 1000	3.52503		0.17777777777777778	0.17	
    2	 1100	3.46730		0.25555555555555554	0.225	
    2	 1200	3.44593		0.28888888888888886	0.285	

Proving the program took 1.43 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	1.88709		0.011111111111111112	0.045	
    0	  100	1.94171		0.0	0.045	
    0	  200	1.88351		0.011111111111111112	0.015	
    1	  300	1.86646		0.022222222222222223	0.065	
    1	  400	1.81489		0.044444444444444446	0.11	
    2	  500	1.76266		0.05555555555555555	0.105	
    2	  600	1.76667		0.14444444444444443	0.2	
    3	  700	1.72948		0.07777777777777778	0.2	
    3	  800	1.66305		0.2111111111111111	0.29	
    4	  900	1.68020		0.36666666666666664	0.315	
    4	 1000	1.56789		0.4	0.435	
    4	 1100	1.52058		0.5444444444444444	0.45	

Proving the program took 0.82 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	2.06521		0.03333333333333333	0.015	
    0	  100	2.04435		0.022222222222222223	0.015	
    0	  200	1.95917		0.011111111111111112	0.015	
    1	  300	1.95678		0.011111111111111112	0.015	
    1	  400	1.92793		0.011111111111111112	0.015	
    2	  500	1.90303		0.05555555555555555	0.035	
    2	  600	1.93802		0.011111111111111112	0.035	
    3	  700	1.91114		0.011111111111111112	0.035	
    3	  800	1.90111		0.022222222222222223	0.035	
    4	  900	1.89078		0.044444444444444446	0.035	

Proving the program took 1.31 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	2.06617		0.022222222222222223	0.02	
    0	  100	2.07379		0.011111111111111112	0.02	

Proving the program took 0.87 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	1.91031		0.022222222222222223	0.02	
    0	  100	1.96954		0.011111111111111112	0.02	
    0	  200	1.95491		0.011111111111111112	0.02	
    1	  300	1.93610		0.044444444444444446	0.015	
    1	  400	1.88239		0.03333333333333333	0.015	
    2	  500	1.82729		0.03333333333333333	0.015	
    2	  600	1.81805		0.07777777777777778	0.12	
    3	  700	1.78880		0.06666666666666667	0.12	
    3	  800	1.75861		0.08888888888888889	0.135	
    4	  900	1.75432		0.14444444444444443	0.135	
    4	 1000	1.71662		0.15555555555555556	0.24	
    4	 1100	1.71380		0.2222222222222222	0.15	
    5	 1200	1.69698		0.23333333333333334	0.255	
    5	 1300	1.68128		0.23333333333333334	0.27	
    6	 1400	1.68134		0.03333333333333333	0.27	
    6	 1500	1.68802		0.3	0.245	
    7	 1600	1.64907		0.3111111111111111	0.3	
